Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  min_disparity
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2160, 0.136555, 81.2922, 0, 138, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2159, 0.126269, 81.0708, 0, 139, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2197, 0.101541, 81.1267, 0, 139, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2228, 0.0663078, 79.4536, 0, 140, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2224, 0.0448617, 78.5096, 0, 142, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2409, 0.0558036, 66.3869, 1, 144, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2211, 0.059305, 80.7617, 0, 143, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2148, 0.107668, 85.5409, 0, 145, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2057, 0.212272, 84.587, 0, 147, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2034, 0.172663, 90.4711, 0, 148, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 2007, 0.193452, 89.6134, 0, 148, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 2100, 0.186231, 88.4939, 0, 151, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 2072, 0.183386, 90.4163, 0, 150, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2065, 0.183167, 90.8988, 0, 151, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 2017, 0.203957, 91.6247, 0, 152, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 2038, 0.185355, 91.8173, 0, 154, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 2090, 0.157344, 87.8916, 0, 157, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2184, 0.128458, 91.1026, 0, 158, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 2083, 0.135242, 92.4797, 0, 160, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 2199, 0.143995, 92.2468, 0, 162, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 2238, 0.135023, 92.8551, 0, 164, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 2261, 0.123424, 88.0983, 0, 163, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 2100, 0.142026, 91.7199, 0, 167, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 2339, 0.107449, 91.0062, 0, 214, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 2178, 0.110294, 89.6776, 0, 233, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 2154, 0.0770308, 91.003, 0, 266, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 2222, 0.0798757, 91.3158, 0, 242, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 2183, 0.094319, 90.8838, 0, 234, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2179, 0.134585, 89.736, 0, 233, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2311, 0.124519, 91.3219, 0, 265, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2320, 0.119704, 86.8605, 0, 268, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2200, 0.144652, 85.5087, 0, 235, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2205, 0.102197, 89.6372, 0, 285, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2216, 0.13174, 89.835, 0, 239, -2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2251, 0.140931, 83.2112, 0, 233, -2
