Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  preFilterCap
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2379, 14.6987, 71.3653, 0, 222, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2311, 13.8266, 76.2255, 0, 204, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2383, 13.3215, 73.9907, 0, 202, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2330, 13.5231, 70.781, 0, 204, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2309, 12.4991, 67.2496, 0, 204, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2359, 15.6933, 65.7215, 1, 203, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2174, 11.2728, 78.8056, 0, 203, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2242, 10.2926, 83.3809, 0, 202, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2204, 10.1554, 84.6015, 0, 199, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2104, 9.69691, 81.4717, 0, 201, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 2075, 9.79648, 83.9123, 0, 200, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 2195, 9.40586, 89.3354, 0, 204, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 2117, 9.41111, 89.1064, 0, 213, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2195, 9.68466, 89.7785, 0, 220, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 2152, 9.85622, 90.7957, 0, 223, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 2060, 9.7468, 87.6607, 0, 225, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 2166, 9.71748, 87.4212, 0, 230, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2236, 10.2403, 90.3249, 0, 228, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 2153, 9.60565, 91.8625, 0, 228, 0
