Video, Frame ID, hole count, invalid_percentage, incomplete, consitensy_level, time_spent_ms,  Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 11, 39.1715, 0, 100,756, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 11, 36.8001, 0, 100,777, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 13, 37.2019, 0, 100,779, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 8, 35.9796, 0, 100,786, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 8, 35.2232, 0, 100,806, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 5, 94.2793, 1, 0,599, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 15, 33.3844, 0, 100,835, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 11, 32.4689, 0.5, 100,851, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 13, 31.535, 0.5, 100,850, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 12, 29.0254, 0, 100,863, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 14, 27.5557, 0, 100,872, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 17, 27.4255, 0, 100,880, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 15, 25.8452, 0.5, 100,887, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 18, 24.9977, 0.5, 100,895, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 21, 24.3756, 0.5, 100,905, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 15, 23.4009, 0.5, 100,909, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 17, 23.6388, 0.5, 100,918, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 18, 22.6395, 0, 100,908, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 23, 21.5064, 0, 100,914, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 33, 22.4716, 0, 100,908, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 34, 21.6745, 0.5, 100,904, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 20, 20.6866, 0, 100,918, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 22, 22.8097, 0, 100,912, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 18, 21.4287, 0, 100,910, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 20, 22.6444, 0, 100,926, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 29, 23.7485, 0.5, 100,914, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 16, 23.1028, 0.5, 100,924, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 19, 23.7339, 0.5, 100,918, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 22, 25.0498, 0, 100,920, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 21, 25.5321, 0, 100,923, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 25, 25.3049, 0, 100,925, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 19, 25.1266, 0, 100,911, Weighted_median
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 22, 24.668, 0, 100,910, Weighted_median
