Video, Frame ID, hole count, invalid_percentage, incomplete, consitensy_level, time_spent_ms,  Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 11, 41.3535, 0, 100,789, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 11, 39.3049, 0, 100,812, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 11, 39.2497, 0, 100,801, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 7, 37.8254, 0, 100,815, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 8, 40.0459, 0, 100,835, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 1, 100, 1, 0,615, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 15, 36.0624, 0, 100,862, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 10, 34.5368, 0.5, 100,876, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 10, 34.2452, 0.5, 100,871, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 9, 32.9364, 0, 100,901, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 11, 31.8219, 0, 100,915, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 13, 32.1511, 0, 100,900, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 13, 31.5115, 0.5, 100,914, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 16, 30.9373, 0.5, 100,927, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 18, 31.0575, 0.5, 100,925, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 12, 30.7948, 0.5, 100,937, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 12, 30.6451, 0.5, 100,940, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 15, 30.4527, 0, 100,932, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 16, 30.419, 0, 100,934, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 17, 30.3097, 0, 100,930, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 15, 30.3567, 0.5, 100,930, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 18, 26.853, 0, 100,942, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 15, 30.0982, 0, 100,932, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 11, 29.6576, 0, 100,941, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 14, 29.2181, 0, 100,922, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 19, 30.7506, 0.5, 100,921, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 8, 30.5634, 0.5, 100,928, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 10, 30.904, 0.5, 100,924, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 15, 31.2068, 0, 100,933, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 18, 31.2161, 0, 100,926, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 18, 31.0626, 0, 100,929, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 14, 30.9496, 0, 100,930, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 16, 30.6091, 0, 100,936, Weighted_median_speckle
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 12, 30.7427, 0, 100,933, Weighted_median_speckle
