Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), diffusivity
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 12, 7, 58.3333, 330, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 38, 36, 94.7368, 339, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 251, 251, 100, 331, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 272, 266, 97.7941, 337, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 682, 675, 98.9736, 338, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 565, 563, 99.646, 338, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 941, 935, 99.3624, 343, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1504, 1394, 92.6862, 341, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1800, 1677, 93.1667, 334, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 641, 489, 76.2871, 340, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 1091, 979, 89.7342, 340, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 961, 856, 89.0739, 344, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 1014, 885, 87.2781, 346, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 323, 189, 58.5139, 337, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 353, 257, 72.8045, 346, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 88, 86, 97.7273, 338, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 68, 66, 97.0588, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 62, 60, 96.7742, 333, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 21, 17, 80.9524, 336, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 206, 165, 80.0971, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 236, 220, 93.2203, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 555, 546, 98.3784, 343, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 1170, 1170, 100, 335, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3436, 3369, 98.0501, 354, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2547, 2365, 92.8543, 337, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1766, 1702, 96.376, 351, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2809, 2754, 98.042, 340, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 2180, 1937, 88.8532, 329, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1263, 1244, 98.4956, 341, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 2138, 2123, 99.2984, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1397, 1358, 97.2083, 332, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 1173, 1172, 99.9147, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 427, 388, 90.8665, 343, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 480, 446, 92.9167, 338, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 649, 622, 95.8398, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 433, 392, 90.5312, 342, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 918, 857, 93.3551, 343, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 906, 817, 90.1766, 340, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 755, 741, 98.1457, 328, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 272, 244, 89.7059, 336, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 169, 133, 78.6982, 337, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 84, 57, 67.8571, 337, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 140, 130, 92.8571, 333, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 150, 67, 44.6667, 341, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 2752, 1646, 59.811, 344, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1702, 1041, 61.1633, 325, DIFF_PM_G1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 1099, 599, 54.5041, 334, DIFF_PM_G1
