Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), diffusivity
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,0, 2404, 1968, 81.8636, 804, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,1, 12844, 10830, 84.3195, 816, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,2, 16444, 11886, 72.2817, 844, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,3, 14986, 13689, 91.3453, 822, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,4, 4347, 3974, 91.4194, 824, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,5, 1281, 1029, 80.3279, 785, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,6, 24691, 20748, 84.0306, 847, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,7, 21277, 18058, 84.871, 841, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,8, 28461, 23714, 83.321, 864, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,9, 28628, 23737, 82.9153, 835, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,10, 28361, 21169, 74.6412, 861, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,11, 14806, 5766, 38.9437, 842, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,12, 9678, 5687, 58.7621, 812, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,13, 13537, 7630, 56.364, 832, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,14, 18839, 14752, 78.3056, 834, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,15, 19723, 15074, 76.4285, 814, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,16, 18354, 8026, 43.7289, 835, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,17, 31124, 26030, 83.6332, 869, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,18, 10062, 6863, 68.2071, 805, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,19, 39112, 24755, 63.2926, 849, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,20, 35104, 17616, 50.1823, 852, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,21, 25128, 20686, 82.3225, 840, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,22, 20623, 12523, 60.7235, 833, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,23, 25705, 23369, 90.9123, 843, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,24, 31021, 24542, 79.1141, 839, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,25, 26973, 25426, 94.2646, 834, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,26, 28199, 24448, 86.6981, 841, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,27, 25479, 12067, 47.3606, 846, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,28, 30366, 25484, 83.9228, 846, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,29, 11445, 10734, 93.7877, 822, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,30, 32808, 26769, 81.5929, 854, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,31, 30334, 22365, 73.7291, 858, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,32, 27111, 21366, 78.8093, 819, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,33, 26670, 23614, 88.5414, 849, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,34, 15851, 12192, 76.9163, 841, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,35, 30236, 24829, 82.1173, 857, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,36, 14737, 12042, 81.7127, 828, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,37, 30758, 26693, 86.7839, 859, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,38, 12690, 8937, 70.4255, 830, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,39, 23485, 16714, 71.1688, 832, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,40, 14907, 10696, 71.7515, 821, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,41, 25980, 18618, 71.6628, 836, DIFF_PM_G1
../Data/Ground_Beams_Images/Ground_Beams_Images_Video.avi,42, 12502, 11043, 88.3299, 828, DIFF_PM_G1
