Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), number_octave_layers
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,0, 1, 0, 0, 121, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,1, 5, 3, 60, 109, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,2, 55, 55, 100, 126, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,3, 50, 48, 96, 128, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,4, 147, 147, 100, 97, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,5, 120, 119, 99.1667, 126, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,6, 138, 138, 100, 128, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,7, 251, 229, 91.2351, 112, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,8, 430, 394, 91.6279, 131, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,9, 146, 99, 67.8082, 135, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,10, 245, 214, 87.3469, 116, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,11, 316, 290, 91.7722, 134, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,12, 224, 170, 75.8929, 115, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,13, 97, 49, 50.5155, 115, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,14, 79, 57, 72.1519, 123, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,15, 20, 20, 100, 135, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,16, 16, 16, 100, 108, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,17, 8, 7, 87.5, 127, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,18, 2, 1, 50, 109, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,19, 81, 60, 74.0741, 108, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,20, 106, 101, 95.283, 127, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,21, 336, 326, 97.0238, 95, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,22, 464, 464, 100, 126, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,23, 1332, 1300, 97.5976, 129, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,24, 651, 598, 91.8587, 91, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,25, 516, 498, 96.5116, 126, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,26, 1198, 1178, 98.3306, 129, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,27, 664, 597, 89.9096, 110, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,28, 306, 303, 99.0196, 109, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,29, 683, 678, 99.2679, 127, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,30, 419, 410, 97.852, 129, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,31, 456, 456, 100, 109, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,32, 145, 126, 86.8966, 126, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,33, 150, 138, 92, 128, 1
../Data/New_Pillar_Bottom_Images/New_Pillar_Bottom_Images_Video.avi,34, 215, 212, 98.6047, 110, 1
