Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), number_octaves
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 10, 6, 60, 268, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 24, 22, 91.6667, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 115, 115, 100, 275, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 128, 124, 96.875, 285, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 327, 327, 100, 282, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 245, 244, 99.5918, 282, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 512, 509, 99.4141, 281, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 815, 775, 95.092, 277, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1008, 961, 95.3373, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 290, 231, 79.6552, 278, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 545, 507, 93.0275, 286, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 386, 359, 93.0052, 287, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 448, 411, 91.7411, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 128, 71, 55.4688, 286, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 128, 98, 76.5625, 274, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 25, 24, 96, 283, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 30, 29, 96.6667, 275, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 30, 28, 93.3333, 281, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 12, 8, 66.6667, 285, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 93, 58, 62.3656, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 95, 83, 87.3684, 273, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 255, 248, 97.2549, 285, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 630, 630, 100, 278, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 2320, 2289, 98.6638, 276, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 1453, 1381, 95.0447, 278, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 841, 834, 99.1677, 281, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 1631, 1622, 99.4482, 279, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 1281, 1136, 88.6807, 288, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 719, 715, 99.4437, 283, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 1279, 1278, 99.9218, 279, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 746, 725, 97.185, 287, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 638, 638, 100, 281, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 219, 192, 87.6712, 296, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 244, 219, 89.7541, 292, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 254, 237, 93.3071, 283, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 215, 190, 88.3721, 301, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 486, 443, 91.1523, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 431, 364, 84.4548, 277, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 345, 334, 96.8116, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 112, 90, 80.3571, 288, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 72, 46, 63.8889, 270, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 56, 34, 60.7143, 296, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 58, 51, 87.931, 291, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 76, 22, 28.9474, 277, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 1846, 1001, 54.2254, 288, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 1116, 598, 53.5842, 280, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 732, 345, 47.1311, 280, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 503, 300, 59.6421, 301, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 357, 281, 78.7115, 284, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 720, 645, 89.5833, 281, 1
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 11, 7, 63.6364, 324, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 32, 30, 93.75, 322, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 194, 194, 100, 336, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 216, 211, 97.6852, 321, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 508, 507, 99.8031, 338, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 423, 422, 99.7636, 322, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 780, 776, 99.4872, 340, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1197, 1117, 93.3166, 325, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1476, 1378, 93.3604, 326, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 480, 365, 76.0417, 325, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 876, 798, 91.0959, 336, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 727, 660, 90.784, 332, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 821, 720, 87.6979, 330, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 233, 131, 56.2232, 324, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 247, 185, 74.8988, 315, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 51, 50, 98.0392, 333, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 44, 43, 97.7273, 327, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 49, 47, 95.9184, 329, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 18, 14, 77.7778, 331, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 131, 95, 72.5191, 328, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 166, 153, 92.1687, 326, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 417, 410, 98.3213, 337, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 959, 959, 100, 335, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 3075, 3023, 98.3089, 330, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2218, 2074, 93.5077, 325, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 1450, 1416, 97.6552, 330, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 2352, 2321, 98.682, 331, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 1862, 1641, 88.131, 340, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 1068, 1055, 98.7828, 328, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 1899, 1895, 99.7894, 324, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 1166, 1139, 97.6844, 343, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 976, 976, 100, 337, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 340, 307, 90.2941, 325, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 379, 347, 91.5567, 327, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 483, 460, 95.2381, 337, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 320, 292, 91.25, 327, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 744, 694, 93.2796, 338, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 701, 618, 88.1598, 338, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 615, 602, 97.8862, 337, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 194, 169, 87.1134, 331, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 125, 90, 72, 337, 2
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 77, 54, 70.1299, 333, 2
