Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), threshold
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 32558, 8830, 27.1208, 420, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 30738, 10193, 33.1609, 414, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 31524, 13429, 42.5993, 412, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 34652, 14033, 40.4969, 423, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 33137, 15871, 47.8951, 433, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 30735, 14755, 48.0072, 413, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 29857, 14836, 49.6902, 415, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 33371, 17910, 53.6694, 424, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 33505, 17404, 51.9445, 417, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 34971, 16031, 45.8408, 436, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 33507, 16965, 50.6312, 425, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 33357, 17215, 51.6084, 437, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 36876, 16577, 44.9534, 433, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 33151, 16112, 48.6019, 431, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 32098, 20086, 62.5771, 426, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 31306, 13911, 44.4356, 429, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 29992, 15208, 50.7069, 420, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 27807, 14213, 51.113, 413, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 27380, 13128, 47.9474, 418, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 31890, 14308, 44.8667, 413, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 35403, 14589, 41.2084, 435, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 34661, 15815, 45.6277, 418, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 33558, 17591, 52.4197, 430, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 33173, 18895, 56.959, 430, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 34120, 17108, 50.1407, 416, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 34063, 17896, 52.5379, 414, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 35588, 20150, 56.6202, 425, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 35688, 18225, 51.0676, 417, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 31977, 16757, 52.4033, 424, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 31853, 16399, 51.4834, 431, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 33217, 14912, 44.8927, 411, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 31605, 14849, 46.9831, 422, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 33721, 13720, 40.6868, 429, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 35440, 14658, 41.36, 411, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 32117, 15212, 47.3643, 414, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 32733, 13364, 40.8273, 418, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 30832, 15024, 48.7286, 402, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 33389, 16155, 48.3842, 422, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 32415, 15523, 47.8883, 426, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 31672, 13413, 42.3497, 410, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 35284, 14170, 40.1598, 443, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 34357, 13090, 38.1, 425, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 28795, 13144, 45.6468, 417, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 31432, 12295, 39.1162, 420, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 37247, 16376, 43.966, 422, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 36430, 15389, 42.2427, 429, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 35564, 14036, 39.4669, 419, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 35773, 14312, 40.0078, 435, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 32931, 15425, 46.8404, 415, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 34167, 17247, 50.4785, 428, 0.000000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 16055, 5052, 31.4668, 384, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 14548, 6490, 44.6109, 383, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 17510, 10057, 57.4358, 373, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 20227, 10836, 53.572, 381, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 20837, 13151, 63.1137, 395, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 18024, 11762, 65.2574, 389, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 16924, 11964, 70.6925, 372, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 21859, 14670, 67.1119, 399, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 21197, 15051, 71.0053, 385, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 20793, 12497, 60.102, 383, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 21106, 13780, 65.2895, 384, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 20623, 13282, 64.4038, 381, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 22699, 12810, 56.4342, 392, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 18427, 11387, 61.7952, 390, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 18021, 12428, 68.964, 400, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 16567, 9608, 57.9948, 388, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 16118, 10746, 66.6708, 380, 0.000001
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 13911, 9518, 68.4207, 402, 0.000001
