Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), threshold
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,0, 34304, 3596, 10.4827, 434, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,1, 36410, 3728, 10.2389, 425, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,2, 36072, 4984, 13.8168, 431, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,3, 36443, 5007, 13.7393, 436, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,4, 36015, 7214, 20.0305, 415, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,5, 34658, 7842, 22.6268, 411, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,6, 34858, 7982, 22.8986, 421, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,7, 35168, 8450, 24.0275, 429, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,8, 34197, 7807, 22.8295, 418, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,9, 33342, 4641, 13.9194, 424, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,10, 34813, 4786, 13.7477, 412, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,11, 34933, 4246, 12.1547, 438, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,12, 35515, 4229, 11.9076, 429, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,13, 33626, 444, 1.32041, 422, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,14, 35213, 35, 0.0993951, 424, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,15, 38038, 623, 1.63784, 443, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,16, 37586, 3349, 8.91023, 428, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,17, 36625, 7230, 19.7406, 418, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,18, 34890, 6613, 18.9539, 425, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,19, 33534, 10644, 31.7409, 424, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,20, 31579, 11259, 35.6534, 421, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,21, 34306, 12322, 35.9179, 413, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,22, 34047, 11935, 35.0545, 421, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,23, 32553, 11758, 36.1196, 424, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,24, 30372, 11599, 38.1898, 415, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,25, 28098, 10954, 38.985, 407, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,26, 28016, 10644, 37.9926, 415, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,27, 33341, 10755, 32.2576, 426, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,28, 36780, 10700, 29.0919, 439, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,29, 37237, 10010, 26.8819, 428, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,30, 35874, 10323, 28.7757, 422, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,31, 35582, 11735, 32.9802, 425, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,32, 36017, 12478, 34.6448, 436, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,33, 37747, 12213, 32.3549, 427, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,34, 37133, 11888, 32.0147, 428, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,35, 32651, 9096, 27.8583, 430, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,36, 35163, 8719, 24.796, 437, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,37, 31573, 9392, 29.7469, 418, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,38, 33213, 10108, 30.4339, 418, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,39, 33619, 10087, 30.0039, 436, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,40, 31514, 9320, 29.5742, 413, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,41, 29977, 9362, 31.2306, 405, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,42, 29237, 8993, 30.759, 420, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,43, 34304, 3290, 9.59072, 429, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,44, 34931, 7123, 20.3916, 416, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,45, 34811, 4237, 12.1714, 412, 0.000000
../Data/Tank_With_Pipe_2_Images/Tank_With_Pipe_2_Images_Video.avi,46, 36530, 10132, 27.7361, 434, 0.000000
