Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 54, 53, 98.1481, 165, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 8, 8, 100, 145, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 19, 19, 100, 187, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 41, 40, 97.561, 204, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 32, 27, 84.375, 202, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 98, 97, 98.9796, 190, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 15, 14, 93.3333, 193, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 6, 5, 83.3333, 204, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 2, 2, 100, 214, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 18, 18, 100, 205, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 27, 27, 100, 208, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 84, 84, 100, 197, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 189, 185, 97.8836, 196, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 98, 92, 93.8776, 203, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 74, 69, 93.2432, 195, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 65, 63, 96.9231, 197, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 4, 4, 100, 204, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 1, 1, 100, 194, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 55, 54, 98.1818, 201, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 50, 50, 100, 193, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 100, 99, 99, 202, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 28, 27, 96.4286, 199, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 18, 18, 100, 203, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 106, 106, 100, 191, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 53, 52, 98.1132, 195, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 99, 99, 100, 195, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 90, 90, 100, 197, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,27, 41, 38, 92.6829, 186, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,28, 105, 105, 100, 193, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,29, 153, 150, 98.0392, 195, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,30, 229, 229, 100, 197, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,31, 191, 191, 100, 205, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,32, 36, 36, 100, 194, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,33, 28, 26, 92.8571, 202, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,34, 123, 122, 99.187, 196, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,35, 149, 149, 100, 198, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,36, 247, 245, 99.1903, 198, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,37, 305, 195, 63.9344, 204, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,38, 64, 63, 98.4375, 197, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,39, 8, 8, 100, 200, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,40, 262, 257, 98.0916, 182, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,41, 688, 688, 100, 195, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,42, 588, 588, 100, 203, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,43, 187, 186, 99.4652, 190, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,44, 145, 139, 95.8621, 190, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,45, 20, 8, 40, 194, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,46, 43, 42, 97.6744, 199, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,47, 29, 27, 93.1034, 200, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,48, 26, 25, 96.1538, 198, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,49, 105, 103, 98.0952, 187, Chosen setting
