Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,0, 282, 269, 95.3901, 155, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,1, 658, 645, 98.0243, 158, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,2, 517, 491, 94.971, 154, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,3, 607, 594, 97.8583, 157, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,4, 9860, 9272, 94.0365, 168, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,5, 2309, 2292, 99.2638, 161, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,6, 9026, 8807, 97.5737, 178, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,7, 1085, 944, 87.0046, 164, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,8, 868, 756, 87.0968, 157, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,9, 6111, 6060, 99.1654, 163, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,10, 1660, 1463, 88.1325, 150, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,11, 1173, 1051, 89.5993, 162, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,12, 2004, 1635, 81.5868, 159, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,13, 937, 887, 94.6638, 158, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,14, 746, 692, 92.7614, 154, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,15, 297, 274, 92.2559, 157, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,16, 428, 186, 43.4579, 151, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,17, 731, 665, 90.9713, 156, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,18, 692, 483, 69.7977, 152, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,19, 451, 383, 84.9224, 147, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,20, 290, 255, 87.931, 157, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,21, 987, 830, 84.0932, 156, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,22, 561, 0, 0, 156, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,23, 685, 593, 86.5693, 159, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,24, 1488, 1445, 97.1102, 157, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,25, 1568, 1241, 79.1454, 156, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,26, 996, 757, 76.004, 157, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,27, 810, 689, 85.0617, 158, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,28, 1575, 942, 59.8095, 159, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,29, 9503, 9457, 99.5159, 163, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,30, 10381, 10188, 98.1408, 174, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,31, 9757, 9264, 94.9472, 162, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,32, 10261, 1840, 17.932, 172, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,33, 6267, 4107, 65.5337, 164, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,34, 3277, 2502, 76.3503, 159, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,35, 6704, 4581, 68.3323, 168, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,36, 2207, 1642, 74.3996, 160, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,37, 3996, 2436, 60.961, 160, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,38, 5667, 5353, 94.4591, 163, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,39, 5264, 3144, 59.7264, 166, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,40, 4051, 3981, 98.272, 159, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,41, 5805, 0, 0, 166, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,42, 4747, 2795, 58.8793, 164, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,43, 4248, 3839, 90.3719, 165, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,44, 4189, 3435, 82.0005, 164, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,45, 8827, 7737, 87.6515, 172, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,46, 3421, 3290, 96.1707, 159, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,47, 1630, 1027, 63.0061, 158, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,48, 9227, 8636, 93.5949, 172, Chosen setting
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,49, 7121, 6657, 93.4841, 165, Chosen setting
