Video, Frame ID, matches, match percent, time_ms, setting 
../Data/Video_Data/Tank_With_Pipe_2.mkv, 0, -1, -1, -1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 1, 154, 70.3196, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 2, 159, 64.3725, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 3, 158, 64.4898, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 4, 148, 62.4473, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 5, 147, 60.9959, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 6, 158, 67.234, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 7, 150, 64.6552, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 8, 141, 65.5814, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 9, 149, 66.8161, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 10, 156, 63.4146, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 11, 155, 70.1357, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 12, 145, 65.0224, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 13, 152, 63.8655, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 14, 140, 61.4035, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 15, 150, 66.0793, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 16, 150, 62.7615, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 17, 148, 64.3478, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 18, 139, 61.5044, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 19, 156, 65.8228, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 20, 148, 62.9787, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 21, 151, 63.7131, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 22, 152, 64.9573, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 23, 163, 65.4618, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 24, 148, 60.1626, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 25, 143, 60.3376, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 26, 154, 63.3745, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 27, 155, 63.0081, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 28, 144, 59.5041, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 29, 147, 59.0361, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 30, 146, 61.6034, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 31, 141, 54.8638, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 32, 141, 60, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 33, 141, 61.3043, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 34, 143, 61.6379, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 35, 144, 62.6087, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 36, 155, 62.5, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 37, 151, 61.3821, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 38, 157, 62.0553, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 39, 148, 64.6288, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 40, 161, 62.6459, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 41, 154, 64.1667, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 42, 149, 63.1356, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 43, 152, 64.135, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 44, 161, 67.364, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 45, 156, 66.1017, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 46, 147, 63.3621, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 47, 145, 59.9174, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 48, 148, 62.4473, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 49, 135, 56.7227, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 50, 137, 64.0187, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 51, 136, 59.9119, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 52, 150, 63.8298, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 53, 146, 65.4709, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 54, 155, 62.5, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 55, 153, 60.9562, 1, Chosen setting
../Data/Video_Data/Tank_With_Pipe_2.mkv, 56, 162, 67.2199, 1, Chosen setting
