Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,0, 166, 166, 100, 12, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,1, 449, 445, 99.1091, 12, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,2, 473, 405, 85.6237, 12, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,3, 674, 649, 96.2908, 14, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,4, 255, 238, 93.3333, 13, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,5, 236, 198, 83.8983, 11, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,6, 991, 988, 99.6973, 17, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,7, 1000, 999, 99.9, 28, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,8, 1000, 999, 99.9, 21, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,9, 978, 967, 98.8753, 15, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,10, 1000, 1000, 100, 17, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,11, 1000, 995, 99.5, 20, 1.6, 6, 34, 0, 2, 34, 13
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,12, 1000, 979, 97.9, 19, 1.6, 6, 34, 0, 2, 34, 13
