Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 6, 6, 100, 11, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 2, 2, 100, 11, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 2, 2, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 23, 23, 100, 9, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 1, 1, 100, 9, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 7, 7, 100, 9, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 30, 30, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 10, 10, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 4, 4, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 4, 4, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 1, 1, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 2, 2, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 2, 2, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 2, 2, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,27, 3, 3, 100, 9, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,28, 11, 11, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,29, 18, 18, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,30, 30, 30, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,31, 24, 24, 100, 12, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,32, 2, 2, 100, 9, 1.6, 6, 34, 0, 2, 34, 17
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,33, 3, 3, 100, 9, 1.6, 6, 34, 0, 2, 34, 17
