Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 0, 0, -1, 1067, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 0, 0, -1, 835, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 0, 0, -1, 806, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 0, 0, -1, 846, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 0, 0, -1, 810, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 0, 0, -1, 784, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 0, 0, -1, 811, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 0, 0, -1, 855, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 0, 0, -1, 888, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 0, 0, -1, 878, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 0, 0, -1, 880, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 0, 0, -1, 830, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 0, 0, -1, 758, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 0, 0, -1, 880, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 0, 0, -1, 858, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 0, 0, -1, 994, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 0, 0, -1, 926, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 0, 0, -1, 900, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 0, 0, -1, 874, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 0, 0, -1, 839, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 0, 0, -1, 864, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 0, 0, -1, 995, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 0, 0, -1, 861, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 0, 0, -1, 833, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 0, 0, -1, 842, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 0, 0, -1, 801, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 0, 0, -1, 809, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,27, 0, 0, -1, 774, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,28, 0, 0, -1, 779, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,29, 0, 0, -1, 791, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,30, 0, 0, -1, 788, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,31, 0, 0, -1, 789, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,32, 0, 0, -1, 795, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,33, 0, 0, -1, 800, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,34, 0, 0, -1, 778, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,35, 0, 0, -1, 764, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,36, 0, 0, -1, 790, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,37, 0, 0, -1, 758, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,38, 0, 0, -1, 779, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,39, 0, 0, -1, 844, 1.6, 6, 34, 6, 2, 34, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,40, 0, 0, -1, 806, 1.6, 6, 34, 6, 2, 34, 20
