Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,0, 67, 67, 100, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,1, 276, 275, 99.6377, 10, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,2, 314, 259, 82.4841, 10, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,3, 408, 391, 95.8333, 12, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,4, 101, 91, 90.099, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,5, 123, 103, 83.7398, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,6, 858, 857, 99.8834, 13, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,7, 1000, 999, 99.9, 19, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,8, 1000, 999, 99.9, 18, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,9, 1000, 990, 99, 14, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,10, 1000, 998, 99.8, 15, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,11, 1000, 996, 99.6, 17, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,12, 1000, 977, 97.7, 15, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,13, 478, 462, 96.6527, 10, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,14, 572, 465, 81.2937, 11, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,15, 462, 416, 90.0433, 10, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,16, 1000, 979, 97.9, 14, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,17, 1000, 1000, 100, 17, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,18, 926, 849, 91.6847, 13, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,19, 647, 563, 87.017, 11, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,20, 1000, 997, 99.7, 17, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,21, 784, 675, 86.0969, 12, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,22, 308, 293, 95.1299, 9, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,23, 69, 69, 100, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,24, 1000, 981, 98.1, 14, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,25, 379, 374, 98.6807, 10, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,26, 52, 44, 84.6154, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,27, 75, 68, 90.6667, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,28, 795, 794, 99.8742, 13, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,29, 83, 66, 79.5181, 8, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,30, 375, 345, 92, 10, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,31, 209, 175, 83.7321, 9, 1.6, 6, 4, 0, 2, 31, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,32, 400, 352, 88, 10, 1.6, 6, 4, 0, 2, 31, 20
