Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,0, 24, 24, 100, 12, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,1, 96, 96, 100, 13, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,2, 113, 83, 73.4513, 13, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,3, 219, 210, 95.8904, 14, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,4, 44, 41, 93.1818, 9, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,5, 69, 62, 89.8551, 10, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,6, 637, 632, 99.2151, 14, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,7, 926, 925, 99.892, 22, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,8, 931, 929, 99.7852, 21, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,9, 865, 849, 98.1503, 16, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,10, 921, 921, 100, 17, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,11, 945, 939, 99.3651, 19, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,12, 915, 898, 98.1421, 17, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,13, 245, 234, 95.5102, 11, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,14, 329, 255, 77.5076, 11, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,15, 259, 240, 92.6641, 11, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,16, 819, 800, 97.6801, 15, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,17, 925, 925, 100, 19, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,18, 782, 686, 87.7238, 15, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,19, 427, 350, 81.9672, 12, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,20, 934, 925, 99.0364, 19, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,21, 550, 429, 78, 14, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,22, 171, 169, 98.8304, 10, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,23, 26, 26, 100, 9, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,24, 921, 900, 97.7199, 17, 1.6, 6, 77, 0, 2, 77, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,25, 167, 161, 96.4072, 10, 1.6, 6, 77, 0, 2, 77, 20
