Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,0, 42, 42, 100, 23, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,1, 176, 176, 100, 23, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,2, 209, 168, 80.3828, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,3, 333, 320, 96.0961, 25, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,4, 74, 68, 91.8919, 22, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,5, 101, 84, 83.1683, 22, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,6, 642, 641, 99.8442, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,7, 1000, 998, 99.8, 37, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,8, 1000, 994, 99.4, 35, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,9, 833, 825, 99.0396, 30, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,10, 1000, 1000, 100, 32, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,11, 1000, 994, 99.4, 34, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,12, 817, 791, 96.8176, 32, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,13, 404, 389, 96.2871, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,14, 495, 391, 78.9899, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,15, 422, 388, 91.9431, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,16, 812, 806, 99.2611, 28, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,17, 1000, 1000, 100, 33, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,18, 693, 639, 92.2078, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,19, 504, 430, 85.3175, 25, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,20, 1000, 999, 99.9, 33, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,21, 572, 458, 80.0699, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,22, 249, 245, 98.3936, 23, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,23, 47, 47, 100, 22, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,24, 758, 736, 97.0976, 28, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,25, 271, 267, 98.524, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,26, 37, 30, 81.0811, 21, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,27, 59, 53, 89.8305, 21, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,28, 617, 617, 100, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,29, 83, 69, 83.1325, 20, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,30, 344, 319, 92.7326, 23, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,31, 185, 154, 83.2432, 22, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,32, 358, 320, 89.3855, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,33, 649, 649, 100, 28, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,34, 154, 88, 57.1429, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,35, 109, 81, 74.3119, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,36, 354, 187, 52.8249, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,37, 114, 76, 66.6667, 25, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,38, 214, 36, 16.8224, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,39, 72, 61, 84.7222, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,40, 257, 205, 79.7665, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,41, 156, 0, 0, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,42, 434, 422, 97.235, 26, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,43, 311, 68, 21.865, 25, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,44, 579, 454, 78.4111, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,45, 319, 289, 90.5956, 25, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,46, 181, 129, 71.2707, 24, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,47, 652, 592, 90.7975, 28, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,48, 508, 501, 98.622, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,49, 434, 34, 7.8341, 28, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,0, 73, 67, 91.7808, 23, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,1, 182, 181, 99.4505, 23, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,2, 175, 169, 96.5714, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,3, 488, 473, 96.9262, 28, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,4, 1000, 970, 97, 43, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,5, 960, 957, 99.6875, 33, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,6, 1000, 998, 99.8, 40, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,7, 618, 498, 80.5825, 29, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,8, 483, 431, 89.234, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,9, 1000, 1000, 100, 42, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,10, 554, 502, 90.6137, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,11, 617, 563, 91.248, 27, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,12, 744, 615, 82.6613, 29, 1.6, 6, 34, 1, 2, 34, 20
../Data/Wall_Indents_Bottom_Images/Wall_Indents_Bottom_Images_Video.avi,13, 298, 277, 92.953, 24, 1.6, 6, 34, 1, 2, 34, 20
