Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,0, 579, 63, 10.8808, 10, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,1, 487, 54, 11.0883, 9, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,2, 672, 72, 10.7143, 10, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,3, 805, 94, 11.677, 13, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,4, 650, 129, 19.8462, 10, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,5, 450, 118, 26.2222, 9, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,6, 123, 109, 88.6179, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,7, 228, 124, 54.386, 8, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,8, 382, 190, 49.7382, 8, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,9, 128, 108, 84.375, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,10, 127, 125, 98.4252, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,11, 174, 133, 76.4368, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,12, 148, 138, 93.2432, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,13, 125, 121, 96.8, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,14, 115, 113, 98.2609, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,15, 161, 159, 98.7578, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,16, 70, 69, 98.5714, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,17, 69, 69, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,18, 66, 66, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,19, 42, 42, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,20, 16, 16, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,21, 25, 25, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,22, 10, 10, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,23, 7, 7, 100, 6, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,24, 16, 16, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,25, 21, 21, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,26, 29, 27, 93.1034, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,27, 15, 15, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,28, 6, 6, 100, 7, 1.6, 6, 7, 0, 2, 7, 20
