Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,0, 290, 60, 20.6897, 84, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,1, 266, 39, 14.6617, 73, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,2, 361, 68, 18.8366, 63, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,3, 440, 98, 22.2727, 80, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,4, 404, 141, 34.901, 79, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,5, 358, 124, 34.6369, 69, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,6, 87, 82, 94.2529, 62, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,7, 232, 153, 65.9483, 62, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,8, 358, 200, 55.8659, 63, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,9, 85, 75, 88.2353, 60, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,10, 77, 76, 98.7013, 57, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,11, 141, 105, 74.4681, 76, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,12, 115, 106, 92.1739, 63, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,13, 104, 98, 94.2308, 64, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,14, 90, 88, 97.7778, 82, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,15, 162, 159, 98.1481, 61, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,16, 54, 53, 98.1481, 61, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,17, 45, 45, 100, 62, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,18, 56, 56, 100, 56, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,19, 28, 28, 100, 56, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,20, 13, 13, 100, 66, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,21, 17, 17, 100, 73, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,22, 8, 8, 100, 108, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,23, 5, 5, 100, 82, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,24, 19, 19, 100, 72, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,25, 29, 29, 100, 72, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,26, 27, 27, 100, 68, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,27, 12, 12, 100, 65, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,28, 4, 4, 100, 63, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,29, 21, 19, 90.4762, 62, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,30, 19, 15, 78.9474, 59, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,31, 12, 6, 50, 60, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,32, 8, 8, 100, 64, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,33, 52, 41, 78.8462, 61, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,34, 64, 52, 81.25, 64, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,35, 55, 42, 76.3636, 65, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,36, 17, 10, 58.8235, 80, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,37, 94, 60, 63.8298, 70, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,38, 103, 70, 67.9612, 60, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,39, 93, 40, 43.0108, 60, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,40, 100, 70, 70, 60, 1.6, 6, 34, 2, 2, 34, 20
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,41, 110, 80, 72.7273, 57, 1.6, 6, 34, 2, 2, 34, 20
