Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 18, 18, 100, 7, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 1, 1, 100, 5, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 5, 5, 100, 5, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 8, 8, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 4, 4, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 50, 50, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 3, 3, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 0, 0, -1, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 0, 0, -1, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 4, 4, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 4, 4, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 41, 41, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 90, 90, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 39, 35, 89.7436, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 21, 20, 95.2381, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 23, 23, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 1, 1, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 0, 0, -1, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 9, 9, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 2, 2, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 19, 19, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 5, 4, 80, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 0, 0, -1, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 19, 19, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 7, 7, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 15, 15, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 11, 11, 100, 3, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,27, 12, 12, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,28, 38, 38, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,29, 44, 43, 97.7273, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,30, 93, 93, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,31, 79, 79, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,32, 7, 7, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,33, 10, 10, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,34, 71, 70, 98.5915, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,35, 76, 76, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,36, 151, 151, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,37, 166, 91, 54.8193, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,38, 50, 50, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,39, 0, 0, -1, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,40, 158, 152, 96.2025, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,41, 373, 373, 100, 5, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,42, 335, 335, 100, 5, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,43, 112, 112, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,44, 103, 100, 97.0874, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,45, 16, 0, 0, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,46, 20, 20, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,47, 7, 6, 85.7143, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,48, 15, 15, 100, 4, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,49, 57, 57, 100, 4, Chosen setting
