Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,0, 169, 169, 100, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,1, 456, 452, 99.1228, 6, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,2, 478, 408, 85.3556, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,3, 679, 655, 96.4654, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,4, 260, 243, 93.4615, 4, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,5, 239, 199, 83.2636, 4, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,6, 997, 994, 99.6991, 7, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,7, 1000, 999, 99.9, 17, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,8, 1000, 999, 99.9, 14, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,9, 983, 973, 98.9827, 7, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,10, 1000, 1000, 100, 9, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,11, 1000, 995, 99.5, 13, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,12, 1000, 979, 97.9, 10, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,13, 778, 750, 96.401, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,14, 853, 709, 83.1184, 6, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,15, 782, 729, 93.2225, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,16, 991, 975, 98.3855, 7, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,17, 1000, 999, 99.9, 13, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,18, 1000, 927, 92.7, 7, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,19, 883, 738, 83.5787, 6, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,20, 1000, 994, 99.4, 13, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,21, 988, 846, 85.6275, 7, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,22, 549, 535, 97.4499, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,23, 183, 177, 96.7213, 4, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,24, 1000, 982, 98.2, 9, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,25, 566, 558, 98.5866, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,26, 116, 93, 80.1724, 4, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,27, 202, 178, 88.1188, 4, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,28, 1000, 1000, 100, 7, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,29, 226, 168, 74.3363, 4, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,30, 710, 662, 93.2394, 5, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,31, 463, 375, 80.9935, 4, Chosen setting
