Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,0, 991, 46, 4.64178, 9, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,1, 875, 32, 3.65714, 7, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,2, 1000, 42, 4.2, 8, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,3, 1000, 54, 5.4, 8, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,4, 995, 100, 10.0503, 7, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,5, 983, 107, 10.885, 7, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,6, 334, 114, 34.1317, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,7, 695, 127, 18.2734, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,8, 906, 177, 19.5364, 6, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,9, 307, 118, 38.4365, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,10, 242, 172, 71.0744, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,11, 536, 132, 24.6269, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,12, 366, 203, 55.4645, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,13, 257, 186, 72.3735, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,14, 173, 160, 92.4855, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,15, 268, 257, 95.8955, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,16, 112, 109, 97.3214, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,17, 115, 111, 96.5217, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,18, 117, 117, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,19, 74, 74, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,20, 46, 45, 97.8261, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,21, 39, 38, 97.4359, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,22, 22, 21, 95.4545, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,23, 16, 16, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,24, 27, 27, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,25, 32, 32, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,26, 37, 34, 91.8919, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,27, 21, 21, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,28, 6, 6, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,29, 26, 23, 88.4615, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,30, 25, 18, 72, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,31, 16, 7, 43.75, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,32, 18, 18, 100, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,33, 114, 55, 48.2456, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,34, 152, 62, 40.7895, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,35, 212, 58, 27.3585, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,36, 85, 20, 23.5294, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,37, 229, 52, 22.7074, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,38, 229, 61, 26.6376, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,39, 190, 34, 17.8947, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,40, 173, 63, 36.4162, 4, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,41, 247, 175, 70.8502, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,42, 337, 304, 90.2077, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,43, 350, 326, 93.1429, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,44, 452, 435, 96.2389, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,45, 384, 365, 95.0521, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,46, 289, 278, 96.1938, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,47, 308, 271, 87.987, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,48, 235, 201, 85.5319, 5, Chosen setting
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,49, 217, 186, 85.7143, 4, Chosen setting
