Video, Frame ID, matches, match percent, time_ms, brief_points
../Data/Video_Data/Tank_With_Pipe_2.mkv, 0, -1, -1, -1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 1, 144, 66.6667, 4, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 2, 150, 55.9701, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 3, 151, 57.8544, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 4, 154, 60.3922, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 5, 158, 59.8485, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 6, 158, 63.4538, 3, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 7, 145, 60.166, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 8, 147, 60.4938, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 9, 151, 62.9167, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 10, 143, 60.084, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 11, 140, 58.5774, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 12, 154, 61.6, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 13, 144, 57.8313, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 14, 142, 58.6777, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 15, 144, 56.4706, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 16, 144, 59.2593, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 17, 146, 62.1277, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 18, 155, 63.786, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 19, 156, 56.5217, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 20, 140, 53.6398, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 21, 134, 55.144, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 22, 142, 59.9156, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 23, 142, 60.1695, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 24, 140, 58.8235, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 25, 141, 57.7869, 3, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 26, 139, 60.6987, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 27, 154, 67.8414, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 28, 135, 52.3256, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 29, 121, 52.381, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 30, 126, 54.0773, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 31, 130, 59.633, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 32, 137, 59.5652, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 33, 137, 59.8253, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 34, 131, 51.5748, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 35, 137, 62.2727, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 36, 141, 57.7869, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 37, 144, 58.0645, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 38, 137, 57.3222, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 39, 149, 60.5691, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 40, 151, 65.6522, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 41, 148, 60.1626, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 42, 139, 62.0536, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 43, 160, 66.9456, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 44, 161, 61.9231, 3, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 45, 150, 62.7615, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 46, 150, 61.7284, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 47, 137, 57.8059, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 48, 148, 60.6557, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 49, 140, 57.377, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 50, 139, 61.5044, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 51, 138, 57.9832, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 52, 157, 63.8211, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 53, 144, 59.5041, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 54, 149, 59.6, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 55, 157, 60.1533, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 56, 155, 59.387, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 57, 144, 59.0164, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 58, 133, 56.3559, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 59, 114, 56.4356, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 60, 101, 52.6042, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 61, 79, 51.2987, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 62, 71, 62.2807, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 63, 58, 63.0435, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 64, 48, 64.8649, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 65, 48, 81.3559, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 66, 45, 72.5806, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 67, 43, 64.1791, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 68, 48, 82.7586, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 69, 49, 77.7778, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 70, 49, 74.2424, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 71, 47, 72.3077, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 72, 53, 75.7143, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 73, 64, 87.6712, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 74, 66, 77.6471, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 75, 65, 75.5814, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 76, 83, 79.8077, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 77, 131, 67.5258, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 78, 142, 57.0281, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 79, 122, 53.7445, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 80, 126, 61.165, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 81, 127, 61.6505, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 82, 141, 58.2645, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 83, 150, 64.1026, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 84, 158, 64.2276, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 85, 149, 60.5691, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 86, 149, 59.127, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 87, 155, 62.5, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 88, 156, 58.8679, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 89, 149, 62.605, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 90, 131, 53.4694, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 91, 134, 56.0669, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 92, 152, 63.3333, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 93, 164, 65.8635, 2, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 94, 124, 48.4375, 1, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 95, 87, 48.8764, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 96, 75, 63.5593, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 97, 70, 75.2688, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 98, 64, 70.3297, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 99, 55, 71.4286, 0, 2
../Data/Video_Data/Tank_With_Pipe_2.mkv, 0, -1, -1, -1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 1, 149, 68.9815, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 2, 165, 61.5672, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 3, 149, 57.0881, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 4, 145, 56.8627, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 5, 165, 62.5, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 6, 150, 60.241, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 7, 146, 60.5809, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 8, 163, 67.0782, 2, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 9, 145, 60.4167, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 10, 147, 61.7647, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 11, 147, 61.5063, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 12, 152, 60.8, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 13, 143, 57.4297, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 14, 158, 65.2893, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 15, 153, 60, 2, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 16, 140, 57.6132, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 17, 148, 62.9787, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 18, 152, 62.5514, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 19, 154, 55.7971, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 20, 149, 57.0881, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 21, 140, 57.6132, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 22, 138, 58.2278, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 23, 140, 59.322, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 24, 138, 57.9832, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 25, 146, 59.8361, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 26, 133, 58.0786, 2, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 27, 150, 66.0793, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 28, 131, 50.7752, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 29, 131, 56.71, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 30, 130, 55.794, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 31, 125, 57.3394, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 32, 130, 56.5217, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 33, 138, 60.262, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 34, 126, 49.6063, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 35, 133, 60.4545, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 36, 137, 56.1475, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 37, 142, 57.2581, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 38, 142, 59.4142, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 39, 144, 58.5366, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 40, 149, 64.7826, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 41, 144, 58.5366, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 42, 146, 65.1786, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 43, 161, 67.364, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 44, 158, 60.7692, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 45, 153, 64.0167, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 46, 148, 60.9053, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 47, 136, 57.384, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 48, 148, 60.6557, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 49, 142, 58.1967, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 50, 137, 60.6195, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 51, 142, 59.6639, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 52, 146, 59.3496, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 53, 152, 62.8099, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 54, 157, 62.8, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 55, 158, 60.5364, 2, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 56, 162, 62.069, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 57, 146, 59.8361, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 58, 123, 52.1186, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 59, 118, 58.4158, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 60, 104, 54.1667, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 61, 78, 50.6494, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 62, 61, 53.5088, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 63, 51, 55.4348, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 64, 44, 59.4595, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 65, 45, 76.2712, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 66, 46, 74.1935, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 67, 39, 58.209, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 68, 46, 79.3103, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 69, 45, 71.4286, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 70, 48, 72.7273, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 71, 49, 75.3846, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 72, 52, 74.2857, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 73, 63, 86.3014, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 74, 59, 69.4118, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 75, 65, 75.5814, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 76, 83, 79.8077, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 77, 136, 70.1031, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 78, 146, 58.6345, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 79, 126, 55.5066, 2, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 80, 127, 61.6505, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 81, 127, 61.6505, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 82, 158, 65.2893, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 83, 156, 66.6667, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 84, 157, 63.8211, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 85, 158, 64.2276, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 86, 151, 59.9206, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 87, 163, 65.7258, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 88, 156, 58.8679, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 89, 155, 65.1261, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 90, 140, 57.1429, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 91, 140, 58.5774, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 92, 155, 64.5833, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 93, 158, 63.4538, 1, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 94, 125, 48.8281, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 95, 83, 46.6292, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 96, 71, 60.1695, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 97, 61, 65.5914, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 98, 58, 63.7363, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 99, 55, 71.4286, 0, 3
../Data/Video_Data/Tank_With_Pipe_2.mkv, 0, -1, -1, -1, 4
../Data/Video_Data/Tank_With_Pipe_2.mkv, 1, 159, 73.6111, 1, 4
../Data/Video_Data/Tank_With_Pipe_2.mkv, 2, 164, 61.194, 2, 4
../Data/Video_Data/Tank_With_Pipe_2.mkv, 3, 147, 56.3218, 1, 4
../Data/Video_Data/Tank_With_Pipe_2.mkv, 4, 155, 60.7843, 1, 4
../Data/Video_Data/Tank_With_Pipe_2.mkv, 5, 170, 64.3939, 1, 4
../Data/Video_Data/Tank_With_Pipe_2.mkv, 6, 160, 64.257, 1, 4
