Video, Frame ID, matches, match percent, layers, contradt threshold, edge threshold, sigma, precise upscale
../Data/Video_Data/Wall_Indents_Top.mkv, 0, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 1, 2, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 2, 1, 20, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 3, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 4, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 5, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 6, 1, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 7, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 8, 2, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 9, 1, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 10, 1, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 11, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 12, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 13, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 14, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 15, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 16, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 17, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 18, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 19, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 20, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 21, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 22, 3, 37.5, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 23, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 24, 3, 60, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 25, 1, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 26, 1, 16.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 27, 1, 20, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 28, 2, 13.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 29, 3, 60, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 30, 4, 57.1429, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 31, 4, 44.4444, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 32, 3, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 33, 5, 71.4286, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 34, 4, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 35, 3, 30, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 36, 2, 40, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 37, 3, 75, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 38, 4, 23.5294, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 39, 2, 28.5714, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 40, 2, 22.2222, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 41, 2, 28.5714, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 42, 1, 20, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 43, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 44, 1, 7.69231, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 45, 2, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 46, 2, 18.1818, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 47, 4, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 48, 2, 15.3846, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 49, 5, 27.7778, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 50, 8, 34.7826, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 51, 3, 20, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 52, 2, 40, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 53, 5, 62.5, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 54, 6, 35.2941, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 55, 3, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 56, 5, 38.4615, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 57, 5, 31.25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 58, 5, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 59, 3, 42.8571, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 60, 6, 28.5714, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 61, 4, 30.7692, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 62, 2, 28.5714, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 63, 3, 75, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 64, 3, 42.8571, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 65, 3, 27.2727, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 66, 1, 12.5, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 67, 2, 28.5714, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 68, 1, 20, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 69, 1, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 70, 3, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 71, 2, 40, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 72, 3, 75, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 73, 2, 40, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 74, 5, 55.5556, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 75, 1, 10, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 76, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 77, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 78, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 79, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 80, 3, 42.8571, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 81, 1, 20, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 82, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 83, 1, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 84, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 85, 2, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 86, 2, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 87, 2, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 88, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 89, 1, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 90, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 91, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 92, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 93, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 94, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 95, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 96, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 97, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 98, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 99, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 100, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 101, 1, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 102, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 103, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 104, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 105, 1, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 106, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 107, 2, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 108, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 109, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 110, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 111, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 112, 1, 50, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 113, 1, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 114, 2, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 115, 2, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 116, 2, 66.6667, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 117, 1, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 118, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 119, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 120, 2, 33.3333, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 121, 2, 100, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 122, 1, 25, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Wall_Indents_Top.mkv, 123, 3, 100, 3, 0.09, 10, 1.6, 0
