Video, Frame ID, matches, match percent, layers, contradt threshold, edge threshold, sigma, precise upscale
../Data/Video_Data/Tank_With_Pipe.mkv, 0, -1, -1, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 1, 15, 60, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 2, 11, 42.3077, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 3, 16, 80, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 4, 14, 42.4242, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 5, 12, 63.1579, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 6, 15, 88.2353, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 7, 14, 56, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 8, 11, 55, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 9, 10, 55.5556, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 10, 9, 40.9091, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 11, 11, 78.5714, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 12, 14, 48.2759, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 13, 9, 45, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 14, 12, 66.6667, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 15, 10, 45.4545, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 16, 10, 52.6316, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 17, 17, 62.963, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 18, 11, 40.7407, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 19, 9, 64.2857, 3, 0.08, 10, 1.6, 0
../Data/Video_Data/Tank_With_Pipe.mkv, 20, 14, 82.3529, 3, 0.08, 10, 1.6, 0
