Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 0, 0, -1, 513, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 5, 5, 100, 524, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 12, 10, 83.3333, 504, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 17, 17, 100, 519, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 49, 49, 100, 512, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 31, 29, 93.5484, 520, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 59, 59, 100, 510, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 95, 87, 91.5789, 513, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 104, 98, 94.2308, 511, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 35, 19, 54.2857, 513, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 65, 63, 96.9231, 509, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 69, 68, 98.5507, 510, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 54, 34, 62.963, 513, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 16, 6, 37.5, 524, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 11, 7, 63.6364, 529, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 0, 0, -1, 528, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 0, 0, -1, 524, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 2, 0, 0, 531, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 2, 2, 100, 529, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 32, 6, 18.75, 519, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 12, 7, 58.3333, 523, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 81, 76, 93.8272, 525, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 129, 129, 100, 518, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 708, 705, 99.5763, 496, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 316, 281, 88.9241, 526, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 181, 180, 99.4475, 524, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 381, 380, 99.7375, 528, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 301, 218, 72.4252, 529, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 129, 129, 100, 523, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 266, 266, 100, 524, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 172, 160, 93.0233, 529, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 116, 116, 100, 481, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 69, 62, 89.8551, 445, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 91, 81, 89.011, 430, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 23, 21, 91.3043, 418, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 32, 16, 50, 417, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 93, 59, 63.4409, 412, Chosen setting
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 41, 17, 41.4634, 405, Chosen setting
