Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,0, 52, 52, 100, 394, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,1, 221, 217, 98.19, 418, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,2, 240, 200, 83.3333, 427, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,3, 265, 254, 95.8491, 414, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,4, 74, 67, 90.5405, 408, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,5, 66, 59, 89.3939, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,6, 877, 869, 99.0878, 416, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,7, 1000, 992, 99.2, 401, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,8, 1000, 991, 99.1, 403, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,9, 1000, 986, 98.6, 410, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,10, 1000, 997, 99.7, 404, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,11, 1000, 983, 98.3, 422, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,12, 1000, 983, 98.3, 431, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,13, 334, 326, 97.6048, 426, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,14, 382, 318, 83.2461, 414, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,15, 353, 321, 90.9348, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,16, 944, 897, 95.0212, 414, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,17, 1000, 1000, 100, 406, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,18, 1000, 863, 86.3, 423, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,19, 431, 343, 79.5824, 417, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,20, 1000, 990, 99, 400, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,21, 753, 657, 87.251, 417, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,22, 189, 182, 96.2963, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,23, 57, 56, 98.2456, 413, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,24, 1000, 982, 98.2, 422, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,25, 426, 419, 98.3568, 417, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,26, 31, 26, 83.871, 417, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,27, 56, 50, 89.2857, 413, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,28, 594, 590, 99.3266, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,29, 47, 34, 72.3404, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,30, 242, 214, 88.4298, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,31, 150, 125, 83.3333, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,32, 239, 210, 87.8661, 416, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,33, 814, 801, 98.4029, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,34, 126, 61, 48.4127, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,35, 97, 81, 83.5052, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,36, 262, 128, 48.855, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,37, 112, 66, 58.9286, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,38, 156, 46, 29.4872, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,39, 48, 34, 70.8333, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,40, 222, 184, 82.8829, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,41, 91, 0, 0, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,42, 399, 386, 96.7419, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,43, 211, 78, 36.9668, 414, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,44, 391, 303, 77.4936, 412, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,45, 243, 218, 89.7119, 411, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,46, 117, 78, 66.6667, 411, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,47, 598, 523, 87.4582, 415, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,48, 431, 417, 96.7517, 422, Chosen setting
../Data/Wall_Indents_Top_Images/Wall_Indents_Top_Images_Video.avi,49, 344, 49, 14.2442, 414, Chosen setting
