Video, Frame ID, matches, match percent, time_ms, setting 
../Data/Video_Data/Wall_Indents_Top.mkv, 0, -1, -1, -1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 1, 28, 33.7349, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 2, 24, 25.8065, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 3, 24, 32.8767, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 4, 22, 29.7297, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 5, 19, 26.7606, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 6, 19, 27.5362, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 7, 18, 23.3766, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 8, 15, 19.7368, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 9, 20, 22.4719, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 10, 21, 25.9259, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 11, 26, 36.1111, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 12, 16, 22.8571, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 13, 16, 29.6296, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 14, 14, 23.3333, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 15, 10, 24.3902, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 16, 17, 35.4167, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 17, 16, 31.3725, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 18, 17, 25, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 19, 16, 27.1186, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 20, 17, 33.3333, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 21, 15, 31.9149, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 22, 20, 30.303, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 23, 17, 28.8136, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 24, 15, 23.8095, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 25, 16, 26.6667, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 26, 19, 23.1707, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 27, 14, 17.9487, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 28, 15, 16.6667, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 29, 16, 23.1884, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 30, 18, 22.7848, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 31, 28, 28.5714, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 32, 25, 31.6456, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 33, 27, 26.4706, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 34, 29, 33.7209, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 35, 37, 28.9062, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 36, 37, 30.8333, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 37, 43, 32.0896, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 38, 34, 24.1135, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 39, 30, 24, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 40, 43, 35.8333, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 41, 40, 29.8507, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 42, 29, 21.9697, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 43, 37, 27.6119, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 44, 33, 26.4, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 45, 31, 24.031, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 46, 30, 22.3881, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 47, 27, 25.7143, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 48, 26, 19.403, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 49, 35, 28.2258, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 50, 37, 29.6, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 51, 36, 24.3243, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 52, 28, 21.5385, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 53, 35, 25.9259, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 54, 35, 25.3623, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 55, 31, 21.9858, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 56, 38, 29.9213, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 57, 35, 25.7353, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 58, 25, 21.9298, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 59, 30, 26.3158, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 60, 28, 26.9231, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 61, 33, 29.4643, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 62, 32, 27.1186, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 63, 30, 27.2727, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 64, 31, 25, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 65, 21, 17.9487, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 66, 21, 19.8113, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 67, 30, 28.3019, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 68, 30, 24.5902, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 69, 23, 20.9091, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 70, 31, 29.5238, 0, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 71, 30, 24.5902, 1, Chosen setting
../Data/Video_Data/Wall_Indents_Top.mkv, 72, 27, 23.0769, 0, Chosen setting
