Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms),setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 6, 5, 83.3333, 588, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 4, 4, 100, 475, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 3, 3, 100, 500, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 3, 3, 100, 525, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 1, 1, 100, 505, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 16, 14, 87.5, 492, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 3, 3, 100, 609, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 0, 0, -1, 546, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 1, 1, 100, 525, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 2, 2, 100, 516, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 1, 1, 100, 508, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 22, 22, 100, 533, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 22, 22, 100, 529, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 12, 11, 91.6667, 518, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 7, 5, 71.4286, 521, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 9, 9, 100, 524, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 2, 2, 100, 516, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 2, 2, 100, 524, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 5, 5, 100, 535, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 5, 5, 100, 520, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 10, 10, 100, 526, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 0, 0, -1, 515, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 2, 2, 100, 520, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 7, 7, 100, 526, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 3, 3, 100, 520, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 4, 4, 100, 516, Chosen setting
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 5, 5, 100, 517, Chosen setting
