Frame ID, Correctly_identified, False_positive, Obstacle_count, Correct_obstacle_count, Shifted_obstacles, Disparity_issue, Candidate_issue, Split_issue, Filter_issue, Rectified_better, Preprocess_runtime, Disparity_creation_runtime, Candidate_runtime, Splitting_runtime, Filter_runtime, Identification_runtime, Fixer_runtime, total_time, rectify_fix, obstacle_gap_filled, gap_filled_correct
1,0,0,2,2,0,0,0,0,0,1,284,117,334,704,734,28,0,1507,0,0,-1
2,0,0,2,2,0,0,0,0,0,1,269,103,271,1181,1205,28,0,1942,0,0,-1
3,0,1,2,2,0,0,0,0,0,1,259,111,197,1184,1206,28,0,1854,0,0,-1
4,3,0,3,2,2,0,0,1,1,1,285,105,240,1604,1631,38,0,2382,0,0,-1
5,0,0,1,2,1,0,0,1,1,1,282,105,257,1831,1835,16,602,2544,0,1,0
6,0,0,0,2,0,1,1,1,1,1,279,86,391,1341,1345,0,405,2222,0,1,0
8,0,1,1,3,0,0,0,1,1,1,320,94,226,1976,1987,15,0,2728,0,0,-1
9,1,0,2,3,0,0,0,1,1,1,312,107,227,1885,1907,28,0,2664,0,0,-1
10,0,0,1,3,0,0,0,1,1,1,334,94,218,1808,1820,15,571,2543,0,1,1
11,0,1,2,3,0,0,0,1,1,1,334,94,198,1924,1948,30,0,2652,0,0,-1
12,0,1,2,3,0,0,0,1,1,1,343,94,247,2669,2691,30,0,3485,0,0,-1
13,0,0,3,3,1,0,0,0,0,1,400,107,282,2061,2086,45,0,2916,0,0,-1
14,0,1,2,3,1,0,0,1,1,1,372,94,226,2721,2736,30,865,3521,0,1,0
15,0,1,4,3,4,0,0,1,1,1,439,106,199,1592,1629,53,0,2409,0,0,-1
16,2,0,2,3,0,0,0,1,1,1,430,94,224,1803,1826,26,1233,2609,0,1,1
17,4,0,5,3,3,0,0,1,1,1,403,94,271,1577,1626,63,0,2528,0,0,-1
18,0,0,3,3,1,0,0,0,0,1,424,94,315,1495,1523,45,1545,2404,0,1,0
19,0,1,3,3,2,0,0,0,0,1,432,110,280,2131,2165,41,0,3026,0,0,-1
20,0,1,3,3,1,0,0,0,0,1,409,106,266,1805,1830,44,0,2669,0,0,-1
21,1,0,1,3,0,0,0,1,1,1,430,106,258,1866,1877,14,980,2686,0,1,1
22,0,0,3,3,2,0,0,0,0,1,402,114,248,2123,2147,44,0,2963,0,0,-1
23,0,1,4,3,3,0,0,1,1,1,394,111,298,1593,1630,52,0,2542,0,0,-1
24,0,0,2,3,1,0,0,1,1,1,404,107,262,1373,1388,30,1321,2211,0,1,0
25,2,0,2,3,1,0,0,1,1,1,417,95,256,2676,2697,29,0,3522,0,0,-1
26,0,0,3,3,1,0,0,0,0,1,429,112,288,1613,1638,45,0,2507,0,0,-1
28,3,0,3,3,2,0,0,0,0,1,400,113,316,2971,2996,40,0,3893,0,0,-1
29,2,0,4,3,4,0,0,1,1,1,412,106,273,2275,2312,53,0,3164,0,0,-1
30,0,1,2,3,1,0,0,1,1,1,417,94,319,1880,1895,28,1319,2809,0,1,0
31,0,1,2,3,1,0,0,1,1,1,445,95,275,2717,2739,30,0,3573,0,0,-1
32,0,0,2,3,0,0,0,1,1,1,426,106,270,1235,1257,29,0,2095,0,0,-1
35,0,0,3,3,3,0,0,0,0,1,397,95,311,3466,3496,41,0,4388,0,0,-1
36,0,0,2,3,0,0,0,1,1,1,463,107,245,2229,2251,30,1134,3088,0,1,1
37,0,2,4,3,2,0,0,1,1,1,422,107,241,2540,2568,56,0,3432,0,0,-1
39,0,0,3,3,1,0,0,0,0,1,424,106,301,1577,1602,45,1385,2569,0,1,0
40,2,0,6,3,4,0,0,1,1,1,461,108,261,1695,1747,71,0,2588,0,0,-1
41,0,0,0,3,0,1,1,1,1,1,436,110,369,1538,1538,0,416,2526,1,1,0
43,0,0,0,3,0,1,1,1,1,1,409,104,389,3,3,0,0,925,1,0,-1
45,0,0,3,3,1,0,0,0,0,1,370,113,336,2460,2494,42,0,3355,0,0,-1
46,0,0,3,3,0,0,0,0,0,1,389,113,247,1722,1755,42,0,2505,0,0,-1
47,2,0,2,3,0,0,0,1,1,1,413,113,271,1896,1910,25,999,2676,0,1,1
48,0,0,3,3,2,0,0,0,0,1,420,94,273,1849,1882,41,0,2683,0,0,-1
49,2,0,3,3,2,0,0,1,1,1,407,94,313,2080,2114,37,0,2930,1,0,-1
50,0,0,0,3,0,1,1,1,1,1,404,112,358,551,554,0,349,1424,1,1,0
52,3,0,3,3,2,0,0,0,0,1,386,97,341,3349,3374,41,0,4175,0,0,-1
53,0,1,3,3,2,0,0,0,0,1,368,107,314,2334,2368,41,0,3250,0,0,-1
54,0,0,2,3,1,0,0,1,1,1,335,120,279,2087,2108,28,817,2929,0,1,0
55,0,1,3,3,2,0,0,0,0,1,355,94,330,2303,2331,42,0,3294,0,0,-1
56,3,0,3,3,2,0,0,1,1,1,374,106,343,1795,1829,37,0,2806,1,0,-1
58,0,0,3,3,1,0,0,0,0,1,407,105,303,3039,3064,42,0,3999,0,0,-1
59,0,0,3,3,1,0,0,0,0,1,409,112,271,2309,2335,42,0,3174,0,0,-1
60,3,0,3,3,0,0,0,0,0,1,395,94,256,2314,2339,37,0,3174,0,0,-1
61,0,0,0,3,0,1,1,1,1,1,383,93,353,599,599,0,982,1492,0,1,1
62,0,0,3,3,1,0,0,0,0,1,396,111,228,2420,2445,42,0,3228,0,0,-1
63,0,0,4,3,3,0,0,1,1,1,396,112,251,2795,2832,54,0,3709,0,0,-1
64,0,0,3,3,0,0,0,0,0,1,381,102,298,2774,2800,42,1205,3677,0,1,0
65,0,0,3,3,1,0,0,0,0,1,399,93,287,2149,2174,42,0,3081,0,0,-1
66,0,1,2,3,1,0,0,1,1,1,381,93,266,2032,2054,27,368,2925,1,1,0
68,0,1,3,3,2,0,0,0,0,1,385,104,303,2038,2064,40,0,2854,0,0,-1
69,0,0,3,3,2,0,0,0,0,1,385,105,347,3643,3668,42,0,4581,0,0,-1
70,0,0,2,3,0,0,0,1,1,1,384,93,283,2743,2765,28,990,3496,0,1,0
71,2,0,4,3,3,0,0,1,1,1,373,104,297,1949,1993,45,0,2799,0,0,-1
72,0,0,2,3,1,0,0,1,1,1,392,111,363,5486,5510,27,1200,6198,0,1,0
73,0,0,2,3,1,0,0,1,1,1,369,93,281,2523,2538,25,0,3251,0,0,-1
74,0,0,3,3,1,0,0,0,0,1,349,93,330,2331,2364,39,0,3278,0,0,-1
75,0,1,3,3,1,0,0,0,0,1,368,93,266,3487,3523,41,0,4339,0,0,-1
76,1,1,4,3,2,0,0,1,1,1,376,105,299,3048,3093,52,0,3867,0,0,-1
77,0,0,0,3,0,0,1,1,1,1,354,111,332,1326,1326,0,1095,2210,0,1,1
80,0,0,2,3,2,0,0,1,1,1,354,104,306,4266,4282,25,0,5131,0,0,-1
81,3,0,3,3,1,0,0,0,0,1,391,92,324,2807,2840,39,0,3719,0,0,-1
82,0,0,3,3,1,0,0,0,0,1,360,93,296,3454,3487,39,0,4316,0,0,-1
83,2,0,2,3,1,0,0,1,1,1,355,93,252,3613,3638,25,972,4406,0,1,1
84,0,0,2,3,1,0,0,1,1,1,397,105,284,4439,4460,27,0,5115,0,0,-1
85,0,0,3,3,2,0,0,0,0,1,348,117,366,2248,2272,41,0,3125,0,0,-1
86,0,0,2,3,0,0,0,1,1,1,361,105,382,3016,3048,26,911,3879,0,1,1
88,0,0,2,3,1,0,0,1,1,1,395,106,354,2585,2610,27,0,3411,0,0,-1
90,2,0,2,3,1,0,0,1,1,1,350,93,358,2342,2364,25,0,3160,0,0,-1
91,3,0,3,3,1,0,0,0,0,1,390,93,356,2302,2329,37,0,3164,0,0,-1
92,0,0,0,3,0,1,1,1,1,1,376,92,274,1422,1422,0,930,2125,0,1,1
94,0,0,2,3,0,0,0,1,1,1,334,105,291,2659,2681,27,0,3397,0,0,-1
95,0,0,4,3,1,0,0,1,1,1,368,105,266,1805,1834,54,0,2610,0,0,-1
96,2,0,3,3,1,0,0,0,0,1,324,93,299,2438,2470,36,1095,3352,0,1,0
97,3,0,3,3,1,0,0,0,0,1,363,108,312,1891,1924,37,0,2767,0,0,-1
98,3,0,3,3,1,0,0,0,0,1,376,103,302,1675,1700,34,0,2571,0,0,-1
99,2,0,2,3,1,0,0,1,1,1,343,92,324,2340,2362,25,895,3191,0,1,0
100,3,0,3,3,1,0,0,0,0,1,338,93,330,3294,3319,36,0,4165,0,0,-1
